item_id,nb_days
[180843],[2215]
[154652 180843 183194],[2215 2212 1628]
[154652 180843],[2214 2214]
[149739 152662],[2214 1551]
[126335],[2214]
[124204],[2212]
[124204],[2212]
[154002],[2212]
[139086],[2211]
[149739 182578 226529],[2211 1477   29]
[124204],[2211]
[159931],[2210]
[159931],[2210]
[188485],[2210]
[124204],[2210]
[126335],[2209]
[ 126335  174086  193179 1746967],[2209 1687 1687  352]
[146684],[2209]
[126335],[2208]
[ 149739 1165054  224876 2396750],[2208  751  751  420]
[160612],[2208]
[126335],[2208]
[154002],[2207]
[160612],[2206]
[140321],[2205]
[126335],[2205]
[146684],[2205]
[146684],[2204]
[126335 136110],[2204 1484]
[ 126335  948174 1378631],[2204  602  585]
[126335],[2204]
"[ 126335  124204  194182  194232  305868 1422568  858828  723450 1072638
  124553 1416608 1971894 1526453]",[2203 2203 1700 1353 1231  736  685  482  482  461  336   67   67]
[142179],[2203]
[149739],[2203]
[124204],[2202]
[ 126335  195613  195124 2606386 1495368],[2201 1769 1306  948  948]
[147594],[2201]
[126335],[2201]
[147594],[2200]
[125564],[2200]
[126335],[2200]
[ 124204  174086  136110 1126241],[2199 1636 1473  288]
[132738 174086 135750],[2198 1402 1402]
[154002],[2198]
[174258 146684],[2198 2198]
[126335 195613 443464 859889],[2198 1900  675  485]
[174258],[2198]
[ 126335  145906  147594 1099773  240137 2674810 1168767  443517],[2198 2098 1832  938  938  527  527  527]
[180843],[2197]
[159931],[2197]
[146684 132738 126335],[2197 1289  967]
[124204],[2197]
[152836 693185],[2197  957]
[126335],[2197]
[146684 174258 123793],[2197 1832  326]
[149739],[2197]
[ 180843  151551 1910722],[2197 1414  482]
[180843],[2197]
[124204],[2197]
[126335 686884],[2197  432]
[126335 143094],[2197 1816]
[126335],[2197]
[183200 193179],[2197 1629]
[ 147594  432268  374793 2673874  425423],[2197 1452 1248 1063  281]
[ 139086  196859  181453 1692935 1626903],[2197 1949 1774 1261  448]
[126335],[2197]
[132738],[2196]
[126335],[2196]
[154002],[2196]
[132738],[2196]
[174258 132738 172027 166006 124204],[2196 1885 1526 1519 1477]
[124204],[2196]
[154002],[2195]
[160612],[2195]
[125564],[2195]
[187164 145906],[2195 1721]
[126335],[2195]
[ 149739  139086 1669625  125424  343444],[2195 1831  806  718  172]
[132738 154002],[2195 2195]
[149739],[2195]
[125564],[2195]
[146684],[2195]
[ 146684 2340200  731134 2411704 2864831  349579],[2195  678  648  615  551  529]
[132738],[2195]
[149739],[2195]
[139086 141300 921642],[2195 1497  229]
[126335],[2195]
[124204],[2195]
[124204],[2195]
[ 126335 1367424  423547],[2195 1217  704]
[ 154652 1596301  336097  236557 1163129],[2195 1099 1035  768  264]
[132738 153475],[2195 1516]
[180843],[2194]
[149739],[2194]
[159931],[2194]
[126335],[2194]
[125564],[2194]
[160612],[2194]
"[ 124204  330238 1871026 1056174 2686655 1603811 2488048 1491185  471376
  673731 2196467 1453647 1839313 2024355]",[2194  999  605  571  509  495  495  481  472  439  348   21   21   17]
[ 132738  534314  944012 2396177 1605589  295072 1685669 1191124],[2194  841  841  841  819  819  375  375]
[140321 125564 127865],[2194 1842 1477]
[124204],[2194]
[126335],[2194]
[126335],[2192]
[125564],[2192]
[149739],[2192]
[149739],[2191]
[149739 550322],[2191  601]
[126335],[2191]
[124204 187477 640617],[2190 1321  561]
[126335],[2190]
[160612],[2190]
[126335],[2190]
[132738],[2190]
[124204],[2189]
[180843],[2188]
[180843],[2187]
[159395],[2187]
[124204],[2185]
[160612],[2185]
[146684],[2184]
[ 124204  155735 1695279],[2184 1346  979]
[180843 613085],[2184  468]
[139086],[2184]
[126335],[2184]
[149739],[2183]
[124204],[2183]
[139086],[2183]
[126335 130259],[2183 1813]
[147594 193361],[2183 1901]
[132738],[2183]
[124204],[2182]
[ 124204  154002  124553  802278  442500 1034372],[2182 1488  956  686  666  666]
[126335],[2181]
[149739],[2180]
[126335],[2180]
[154002],[2179]
[174258],[2179]
[187164],[2179]
[132738],[2178]
[ 132738 1286229 1547971 1295171 1364866 1604989 1730006  481258],[2178  641  551  304  278  264  264  264]
[124204],[2178]
[146684 709521],[2177   48]
[159931],[2177]
[147594 125564],[2177 1964]
[126335 141300],[2177 1019]
[149739],[2177]
[132738],[2176]
[146684 139086],[2176 1089]
[154002 138431 387732],[2176 1538   64]
[149739],[2176]
[125564],[2176]
[146684],[2175]
[ 182915 1121730 1453730 1889597  709521],[2175 1126  803  762  437]
[ 126335 1770781],[2175  765]
[125564],[2175]
[124204],[2175]
[124204 396894],[2175 1210]
[139086],[2175]
[149739],[2174]
[ 159931  124204  167112 1064880 1543130],[2174 2174 1302 1302  847]
[149739 139086 123793 547674],[2174 1517 1517  553]
[149739],[2173]
[160612],[2173]
[154002 130727],[2173 1603]
[154002 149739],[2172 2172]
[124204 396894],[2171 1408]
[142179],[2170]
[146684 139086 203856],[2170 1959 1071]
[149739 139086 393530],[2170 2155  336]
[ 125564 1042783],[2170 1217]
[147594],[2169]
[149739],[2169]
[146684 166006],[2169 1457]
[124204],[2169]
[159931],[2169]
[124204],[2169]
[ 147594 1859039  174086 1212992],[2168 1482 1098  839]
[125564],[2168]
[125564],[2168]
[149739],[2168]
[124204],[2168]
[149739],[2167]
"[ 139086 1007290  317029 2140811 1679420 1745124 1947410  188052 1010926
 1982555 1413486 1459539 1849707  859692 1020585  326784  443517 2021815
 2650888  607037 1178721 1944753  773361 2685907  364092 2316070  657626
 1188641  673731  966875 1121132 1616442  494731]","[2167  699  699  664  664  664  651  651  629  628  620  620  609  593
  593  593  586  327  327  326  326  326  326  326  293  293  285  284
  284  284  251  119  119]"
[126335],[2167]
[149739],[2167]
[124204],[2167]
"[ 142179  222467 1229740 2958376  229145  694477  579464 1913424  541999
  548667  818635 2768056  435980  444246  629699 1434163 1404676 2383976
 1476038]","[2166  833  833  735  508  508  471  461  461  455  455  419  419  416
  387  387  387  342  342]"
[149739 135750],[2166 1830]
[132738],[2166]
[132738],[2164]
[126335],[2163]
[124204],[2163]
[154652],[2163]
[124204],[2163]
[142179 125564 145906 168592],[2163 1799 1799 1421]
[126335],[2163]
[124204],[2163]
[ 124204 1240309],[2163  314]
[140321],[2163]
[134849],[2163]
[180843],[2162]
[180843],[2162]
[159931],[2162]
[147594],[2162]
[ 182915 1655531  196859 1099773  126335],[2162 1313 1313  948  948]
[140321],[2162]
[132738],[2162]
[181453],[2161]
[182915],[2161]
[180843],[2161]
[180843],[2161]
[132738],[2161]
[152836],[2161]
[126335 143094],[2161  872]
[146684],[2160]
[154002],[2160]
[124204],[2160]
[154652],[2160]
[183200],[2160]
[126335],[2159]
[159931],[2159]
[ 159931 1557314],[2158  423]
[132738],[2157]
[132738],[2157]
[149739],[2157]
[130259],[2157]
[126335],[2156]
[154652],[2156]
[125564 180843],[2156 2140]
[132738],[2156]
[154652],[2156]
[126335 145906],[2156 1883]
[126335],[2155]
[154652],[2155]
[132738],[2155]
[124204],[2155]
[126335],[2155]
[ 140321 1717957],[2154  430]
[159931],[2154]
[139086],[2154]
[ 139086  181453  637670  450618  236557 1809616],[2154 1790 1026  782  698  629]
[159931 180843 123373 195076 125424 405907],[2154 2014 1894 1644 1427 1018]
[142179 132738],[2154 2152]
[139086],[2154]
[126335],[2154]
[159931],[2154]
[ 149739  123793  531077 1880294],[2154 1423  497  467]
[125564],[2154]
[134849],[2154]
[124204],[2154]
[147594],[2154]
[ 140321 1675905 2619062 1032906 1106101],[2153  516  516  516   90]
[125564],[2153]
[ 130259 1219754],[2153  785]
[146684],[2153]
[140321],[2153]
[187164],[2153]
[130259],[2153]
[132738 136860],[2153 1008]
[182915],[2153]
[126335],[2153]
[149739],[2153]
[ 140321 2565135 1515339],[2153 1329 1162]
[181453],[2153]
"[ 180843  147594  144585  194182  136110  124553  865585 1023159  836631
  652189 1515339  240913 1626903  493510 1710886  125424]","[2152 1484 1407 1393 1350 1197  754  672  649  595  504  473  472  189
  168  112]"
[124204],[2152]
[134849],[2152]
[ 149739 1695878],[2152  852]
[146684],[2151]
[182915 159931 234144],[2151 2140  703]
[ 124204  144051  182578 1576942],[2150 1442  945  468]
[ 180843 1056939],[2150  453]
[ 126335 1420770],[2150 1387]
[149739 146684],[2149 2128]
[126335],[2149]
[149739],[2149]
[132738],[2148]
[149739 160346],[2148 1456]
[ 159931 1695279  729362  128730 1213796],[2148 1432 1259 1014   42]
[174258 802815],[2148  635]
[159931],[2147]
[187164],[2147]
[140321],[2147]
[154002],[2147]
[174258],[2147]
[126335 174086],[2147 1697]
[124204],[2146]
[124204],[2146]
[132738],[2146]
[ 147594 2529948  179124],[2146 1186 1012]
[124204],[2146]
[124204],[2145]
[180843],[2145]
[147594 130259],[2144 1969]
[174258],[2143]
[124204],[2143]
[126335 148089],[2143  791]
[132738],[2143]
[180843],[2143]
[134849 139086 757135],[2143  987  236]
[149739],[2143]
[174258],[2142]
[ 140321 1172052],[2142 1520]
"[ 126335  538143  613085 1010926  762257  626764 1895994 1909065  397303
 1957774]",[2142  937  775  651  651  585  465  389   98   59]
[132738 134849],[2142 2142]
[ 180843  168610 1429022 1030240 1241304  123793 1973664 1821702  416213],[2142 1354  963  745  714  714  388  142   60]
[145906],[2142]
[145906 132738],[2141 1825]
[124204 136110],[2141 1132]
[ 142179 1515649],[2141 1498]
[ 126335 1250367 1746190 1603811  858304  782555  810197 1163129],[2141  648  648  629  602  602   54   54]
[124204],[2141]
[160612],[2141]
[126335],[2141]
[124204 137585],[2141  738]
[132738 137585],[2140  652]
[126335],[2140]
[152836 128959],[2140  747]
[140321],[2140]
[154002],[2140]
[132738],[2140]
[124204],[2140]
[126335],[2140]
[139086],[2140]
[145906],[2140]
[181453],[2140]
[159931],[2140]
[180843],[2140]
[147594],[2139]
[140321],[2139]
[180843],[2139]
[126335],[2139]
[180843],[2139]
[130259],[2139]
[132738],[2138]
[149739],[2138]
[126335],[2137]
[199457 499042],[2137    9]
[124204],[2136]
[126335],[2136]
[126335],[2136]
[ 124204  142179 1607852 1671465],[2135 1935  657  567]
[152836],[2135]
[126335],[2135]
[183200],[2135]
[181453],[2135]
[126335],[2135]
[154652],[2134]
[130259],[2134]
[188485],[2134]
[154002],[2133]
[124204],[2133]
[142179 141688],[2133 1772]
[140321],[2133]
[159931],[2133]
[145906],[2133]
[126335],[2133]
[ 145906  168610 1920477 1483562 1146287 1744232],[2133 1652 1183  124   98   59]
[149739],[2132]
[199457],[2132]
[145906],[2132]
[132738],[2132]
[146684 166006],[2131 1369]
[159931 795320 137585],[2131 1349 1320]
[134849],[2131]
[180843],[2130]
[160612],[2130]
[ 146684  185800 1110985],[2130 1412  298]
[ 124204  657626 1674806],[2130   78   78]
[174258],[2129]
[149739 154652],[2129 1951]
[ 147594  131117 1698815],[2128 1492  565]
[ 139086  240208 1063761 2192234 2569151 2646149],[2128 1455 1246  572  572  567]
[132738],[2128]
[200269 139086],[2128 1686]
[180843],[2128]
[139086],[2127]
[ 130259 1896772],[2127 1098]
[139086],[2127]
[ 139086 1803860 2160087  951810  302356 1420770 1166927  459700],[2127  651  651  651  651  651  609  278]
[180843],[2127]
[159931],[2126]
[181453],[2126]
[190529],[2125]
[125564],[2125]
[182915],[2124]
[126335],[2124]
[145906],[2124]
[146684],[2123]
[154002],[2121]
[145906],[2121]
[159931],[2121]
[130259],[2121]
[147594 154652 135750],[2121 2114 1589]
[125564],[2120]
[126335],[2119]
[126335],[2119]
[ 124204  569424 1776178 1709498 1183835 1591403 1590828 2946194],[2119  659  648  648  641  641  572  258]
[124204],[2118]
[183200],[2118]
[132738],[2117]
[125564 153475 139086 624407],[2116 1807 1427 1339]
[146684],[2116]
[142179],[2116]
[132738],[2116]
[174258],[2116]
[134849 130727 179124 169961],[2115 1261 1038 1017]
[ 132738 1769937  952053  833666  553143],[2115  792  398  369  204]
[132738],[2115]
[145906],[2114]
[ 139086 1260666],[2114  963]
[132738],[2114]
[146684],[2114]
[125564],[2114]
[160612],[2114]
[ 159931 1754771  265806],[2113  971   41]
[126335],[2113]
[146684],[2113]
[ 139086 1738544],[2113  515]
[ 139086 2565135  849468 1048184 1449570],[2112 1340 1127 1127  535]
[146684],[2110]
[130259],[2110]
[132738],[2110]
[145906],[2109]
[160612],[2109]
[ 125564 1076484 1001857],[2109 1097  187]
[124204],[2108]
[ 125564 1630499  682043  541133  573593  467817  123793  363135],[2108  623  298  296  296  265  228  162]
[126335],[2108]
[140321],[2108]
[132738 123373],[2107 1527]
[149739],[2107]
[147594],[2107]
[145906],[2107]
[142179],[2107]
[145906],[2106]
[130259],[2106]
[149739],[2106]
[124204],[2105]
[124204],[2104]
[ 130259 1800440 1155639 1840180 1174940],[2104 1126  630  121  121]
[145906 132738],[2104 1746]
[154652],[2104]
[125564 147440],[2104 1422]
[149739],[2103]
[130259],[2103]
[145906 241461],[2100  634]
[147594 136110 254960 947192 889239 259934],[2100 1461 1091  889  354   70]
[174258 125465],[2100  993]
[154002],[2099]
[126335],[2098]
[154002],[2098]
[182915],[2098]
"[ 147594  144051 1800440  432268  128730 2329479  947192  534314  232383
 1950240  690330 2778191 1655531  708064  972745 1166927 1579355 1861000
  976594 1079034  182578 1593041]","[2096 1315  998  973  973  930  894  894  894  894  894  889  889  838
  512  512  120  120  120  120  120  120]"
[145906],[2096]
[126335 194128 555308],[2095 1253  806]
[124204 143094 160612],[2094 1976 1933]
"[ 200269  174258  136110  131117  189303  191514  183194  204063  293370
  954303 2396177  134015 1492185 1154504 2828426  868096 2848341  125424
 1839844]","[2094 1406 1406 1367 1366 1366 1311  974  861  834  834  834  805  805
  730  730  724   85   85]"
[132738],[2094]
[124204],[2094]
[180843],[2094]
[154002 149739],[2093 1815]
[132738],[2093]
[134849],[2093]
[145906],[2093]
[154002],[2093]
[126335],[2093]
[145906],[2093]
[139086],[2092]
[196859],[2092]
[160612 883916],[2092  796]
[132738],[2091]
[180843],[2091]
[145906],[2091]
[126335],[2091]
[1996590 1892264],[2090  367]
[181453],[2090]
[154652],[2090]
[126335],[2090]
[149739],[2090]
[144714],[2089]
[126335],[2089]
[ 180843  123793 1806296  228702],[2089 1513  496  432]
[160612],[2089]
[125564],[2089]
[149739],[2088]
[147020 862446 130259],[2088  104  104]
[142179],[2087]
[160612 146684],[2087 1715]
[149739],[2087]
[146684],[2087]
[132738],[2087]
[146684],[2087]
[159395],[2087]
[132738],[2086]
[132738 450618],[2086  698]
[126335],[2086]
[139086],[2086]
[132738 144051],[2086 1320]
[130259],[2086]
[182915],[2086]
[139086],[2086]
[124204],[2086]
[130259],[2085]
[132738],[2085]
[147594],[2085]
[124204 148690],[2085 1266]
[ 132738  183200  136110 2829293 1731270 1113599],[2084 1224 1207  580  514  300]
[159931],[2084]
[143094],[2084]
[134849 125424],[2084 1561]
[140321],[2084]
[ 126335  130259  162634 1484383],[2083 1884 1704 1108]
[126335],[2083]
[130259],[2083]
[ 139086 1484383],[2083  907]
[195076],[2083]
[180843],[2083]
[132738],[2082]
[132738],[2082]
[139086],[2082]
[149739],[2081]
[ 130259 1154504  233596 2171671 1491185],[2080  562  562  348  348]
[124204],[2080]
[154002],[2080]
[144714],[2080]
[126335],[2080]
"[ 140321  125564 1615177 1978193 1872036  229145 2673488 2875297  916639
 1120148 1706448 1991314 1951265 2866121  295362 2102573]","[2079 1970  731  677  677  306   75   75   75   75   75   75   54   42
   33   32]"
[144714],[2079]
[159931 167112],[2079 1235]
[132738],[2079]
[132738],[2079]
[132738],[2079]
[124204],[2079]
[132738 152836],[2079  623]
[146684],[2079]
[132738],[2079]
[159395],[2079]
[132738],[2079]
[180843],[2079]
[132738],[2079]
[145906],[2078]
[144714],[2078]
[139086],[2078]
[180843 180843],[2078 2078]
[144714 131533 227716],[2078 1342  924]
[ 147594 1996590  168610 1859039],[2077 1680 1372 1293]
[159395],[2076]
[145906],[2076]
[144714 139086],[2075 2075]
[140321],[2075]
[134849],[2075]
[154002],[2075]
[140321],[2075]
[140321],[2074]
[164593 124553],[2074  424]
[200269 200269],[2074 2073]
[ 181453 1913424],[2073  563]
[145906],[2073]
[130259],[2072]
[142179],[2072]
[144714],[2072]
[1996590 2033686],[2072  350]
[180843],[2072]
[146684],[2072]
[160612 197170],[2072 1215]
[154002],[2072]
[142179],[2071]
[139086],[2070]
[132738],[2070]
[154002],[2070]
[ 195076 1992625],[2069  914]
[132738],[2069]
[147594 181737],[2069 1822]
[132738],[2069]
[139086],[2068]
[146684],[2068]
[149739],[2068]
[199457],[2068]
[140321],[2068]
[134849],[2068]
[199457],[2068]
[145906],[2068]
[139086 538143],[2067 1106]
[132738],[2067]
[154002],[2066]
[139086 139086],[2066 2066]
[139086],[2066]
[180843],[2066]
[154002],[2066]
[154002],[2066]
[146684],[2066]
[124204],[2065]
[ 140321  130727  398222 1093026 1505204  247599 1257763 1436642],[2065 1768  453  446  331  236  236  181]
[164593],[2065]
[159931],[2065]
[195076],[2065]
[126335 132738],[2065 1830]
[196859 199457 195124 178527 198271 134015 185182],[2065 2041 2041 1981 1981 1925 1746]
[134849],[2065]
[124204 644425],[2065  791]
[144714],[2065]
[134849],[2065]
[ 183200  158794 1905844  865225],[2065 1551 1067 1004]
[ 199457 2948324],[2064  383]
[144714],[2064]
[130259 162634],[2064 1338]
[142179],[2064]
[180843],[2063]
[124204],[2063]
[124204],[2063]
[190793],[2062]
[ 126335  396894 2756176 2647959],[2062 1042  727   22]
[140321],[2061]
[126335],[2061]
[ 132738 1142056 1877861  448821  322704],[2061  732  195   47   42]
[160612 838983],[2060 1183]
[145906],[2060]
[140321],[2060]
[134849 136110],[2060 1097]
[145906],[2059]
[154002 145906],[2059 1972]
[146684],[2059]
[134849],[2059]
[144714],[2059]
[159395],[2059]
[132738],[2059]
[132738],[2059]
[149739 123373],[2058 1283]
[160612],[2058]
[190529],[2058]
[ 180843 1018841],[2058 1000]
[126335],[2058]
[132738],[2058]
[145906],[2058]
[144714],[2057]
[146684],[2057]
[126335 154652],[2057 2057]
[132738],[2057]
[132738],[2057]
[160612],[2057]
[130259],[2057]
[145906],[2057]
[132738],[2056]
[132738],[2056]
[134849],[2056]
[146684],[2056]
[140321],[2055]
[159931],[2055]
[160612],[2054]
[130259],[2054]
[ 126335 1598962],[2054   69]
[132738],[2053]
[ 130259  172027 1047613],[2053 1655 1241]
[139086],[2052]
[126335],[2051]
[181453],[2051]
[159931],[2050]
[ 174258 1869763],[2050  603]
[145906],[2050]
[132738],[2050]
[125564],[2049]
[1996590  153475],[2049  787]
[199457],[2049]
[195613 165468 182578],[2048 1887 1512]
[146684],[2047]
[145906],[2047]
[154002],[2047]
[154002],[2046]
[134849 136860],[2046 1338]
[132738],[2045]
[195076 154652],[2045 2045]
[143094],[2044]
[146684],[2044]
[181453],[2044]
[149739],[2043]
[139086],[2043]
[142179],[2042]
[154002],[2042]
"[ 140321  588814 2298403 2934869 2239701 1798127  640121 2309796 2644916
  940419 1894639  874687 1236359 1356952  861613 1841429 2465306 2228385]","[2042  726  251  251  231  231  197  197  197  197  197  192  192  161
  161  161  161  161]"
[149739],[2041]
[132738],[2041]
[139086],[2040]
[125564 166006],[2040 1681]
[126335],[2039]
[132738],[2038]
[126335],[2038]
[144714],[2037]
[180843],[2037]
[160612],[2037]
[145906 155820],[2037 1777]
[125564],[2037]
[145906],[2036]
[144714 131117],[2036 1601]
[126335],[2036]
[1996590],[2036]
[181453],[2036]
"[ 149739  849468  166633 1751606 2396750  835908  403748 1413486  572613
 1860720 2783742  975506 1479136 1609517  178429  609487  178058 2848341
 1884484  704314 1542251 1390827  870184 1436642 1300249 1543199 1061029]","[2035 1445 1390  691  670  641  637  631  624  623  587  587  587  487
  481  382  376  364  294  294  294  293  293  243  228  228  228]"
[196859],[2035]
[143094],[2035]
[159395],[2034]
[145906],[2032]
[ 195124  870184  123793 1949394],[2032  795  753  744]
[147594],[2032]
[132738 172027 136110],[2031 1573 1254]
[ 130259 1108814  792780],[2030 1317 1313]
[145906 152836],[2030 1580]
[146684],[2030]
[126335],[2030]
[139086],[2030]
[195124 147020],[2029 2029]
[ 182915 2926339 2429104],[2029  763  763]
[195124],[2029]
[132738],[2029]
[147594],[2029]
[200269],[2029]
[183200],[2026]
[130259 152662],[2026 1384]
[146684],[2026]
[154002],[2026]
[145906 138431],[2026 1343]
[145906],[2026]
[130259],[2026]
[1996590  131533],[2026 1394]
[ 132738 1472909 1347405 1210233  716777  532135],[2026  980  909  874  852  836]
[145906],[2026]
[130259],[2025]
[180843],[2025]
[1996590],[2025]
[132738],[2025]
[132738],[2025]
[164593],[2024]
[160612],[2024]
[132738],[2024]
[144714],[2023]
[180843],[2023]
[147594 144585 152836],[2023 1385 1385]
[ 130259  126335 1773535],[2023 1091  779]
[ 154652  670966  404235 1787191],[2023  572  572  539]
[147594],[2023]
[124204],[2023]
[ 174258  125465  141761 1042783  644425 1223725  135459 1378631],[2023 1292 1182  935  935  935  294  109]
[139086],[2023]
[134849 131533],[2023 1714]
[126335],[2023]
[154002],[2023]
[195613],[2022]
[164593 132135],[2022  238]
[ 144714 1598962],[2022  493]
[1996590],[2022]
[132738],[2021]
[130259],[2021]
[180843],[2020]
[195124],[2020]
[ 178527  123373  140321  181737  180843  617766 1459683],[2019 1908 1907 1871 1840 1440  744]
[199457],[2017]
[132738],[2017]
[142179],[2017]
[139086],[2017]
[145906],[2017]
[181453],[2017]
[132738],[2016]
[174258 182915],[2016  825]
[145906],[2016]
[145906],[2015]
[199457],[2015]
[199457],[2015]
[164593 147594],[2015 1545]
[199457],[2015]
[195076],[2014]
[139086],[2014]
[ 149739  152662  834814 1368672],[2014 1170  442  413]
[145906],[2013]
[132738],[2013]
[ 188485 1420770  155735  644706 1769937 1487957],[2013 1449 1091  819  721  355]
[132738],[2009]
[130259],[2009]
[ 126335  730008 1589928],[2009 1295 1272]
[183200],[2008]
[1996590],[2008]
[1996590],[2007]
[ 154652 2816095],[2006  592]
[178527],[2006]
[140321 176025],[2006 1216]
[180843],[2003]
[145906],[2002]
[178527],[2002]
[125564],[2002]
[200269],[2002]
[134849],[2002]
[149739],[2002]
[178527],[2002]
[196859],[2002]
[ 198271 2722274 2856326],[2001  829  829]
[198271],[2001]
[126335],[2001]
[180843],[2001]
[195613],[2001]
[126335],[2001]
[139086],[2000]
[195124],[2000]
[126335],[2000]
[ 124204 2579422  258206],[2000  564  433]
"[ 164593  159931  154652  138431  357231  265428 1869763  365727 2955585
 2354093 1179273  134393 1223725 1800249 1831674  204063 1317878 1008474]","[2000 1867 1642  999  930  774  735  725  627  627  550  550  468  343
  243  243  242  242]"
[144714],[2000]
[195124],[1999]
[199457],[1999]
[145906],[1999]
[134849],[1999]
[199457 164593 127865],[1999 1937 1701]
[145906],[1998]
[ 147020 1082379  149913  396894  150138  167112 1338469],[1998 1495 1495 1495 1495 1495 1495]
[139086],[1998]
[164593],[1997]
[126335],[1997]
[126335],[1997]
[139086 184374],[1996  839]
[145906 168592],[1996 1414]
[132738],[1996]
"[1996590  147594 1769705 1800440 2755189 1313942 2579422 1670486 1784020
 2520466 1613149 2444721 1706067  765009]",[1996 1496 1211  655  655  613  613  613  613  613  613  594  594  594]
[196859],[1996]
